"date","awnd"
2017-01-03,5.37
2017-01-07,9.62
2017-01-10,5.14
2017-01-13,7.38
2017-01-15,5.82
2017-01-18,6.49
2017-01-21,3.58
2017-01-25,7.61
2017-01-28,9.4
2017-02-09,10.96
2017-02-18,7.61
2017-02-19,4.7
2017-02-20,1.79
2017-02-23,3.36
2017-02-28,7.16
2017-03-04,2.46
2017-03-07,13.87
2017-03-09,6.04
2017-03-10,10.74
2017-03-11,4.47
2017-03-26,6.93
2017-03-28,7.61
2017-04-08,3.13
2017-04-22,9.4
2017-04-23,11.18
2017-04-28,9.17
2017-05-03,5.14
2017-05-04,10.74
2017-05-06,10.96
2017-05-09,1.79
2017-05-17,8.95
2017-05-21,7.61
2017-06-06,3.8
2017-06-08,7.38
2017-06-09,4.03
2017-06-13,8.05
2017-06-17,5.82
2017-06-22,8.05
2017-06-23,13.65
2017-06-27,3.8
2017-07-04,3.8
2017-07-15,5.82
2017-07-23,8.95
2017-07-27,7.61
2017-08-08,5.82
2017-08-10,4.03
2017-08-16,4.03
2017-08-17,4.92
2017-08-22,7.61
2017-08-25,5.14
2017-09-03,4.25
2017-09-14,6.04
2017-09-15,1.79
2017-09-16,3.8
2017-09-17,5.59
2017-09-21,1.79
2017-09-23,4.47
2017-09-24,5.59
2017-09-29,6.04
2017-09-30,7.83
2017-10-04,2.24
2017-10-05,3.13
2017-10-08,8.28
2017-10-09,11.86
2017-10-10,6.71
2017-10-17,5.14
2017-10-18,2.68
2017-10-19,1.12
2017-11-03,2.01
2017-11-11,5.14
2017-11-16,3.13
2017-11-25,4.92
2017-11-28,2.24
2017-12-02,2.91
2017-12-05,4.7
2017-12-06,4.7
2017-12-08,5.82
2017-12-10,5.82
2017-12-17,2.24
2018-01-03,4.25
2018-01-08,5.37
2018-01-11,6.71
2018-01-12,11.41
2018-01-25,3.13
2018-01-26,4.25
2018-02-02,7.83
2018-02-05,4.03
2018-02-10,4.47
2018-02-11,14.99
2018-02-14,6.49
2018-02-18,5.14
2018-02-23,4.92
2018-02-24,11.18
2018-02-26,4.25
2018-02-27,2.24
2018-03-04,6.93
2018-03-05,4.7
2018-03-07,6.71
2018-03-08,4.47
2018-03-09,6.04
2018-03-10,3.13
2018-03-11,7.83
2018-03-23,3.8
2018-03-27,5.37
2018-03-29,13.87
2018-04-03,7.61
2018-04-06,11.41
2018-04-14,13.87
2018-04-18,9.62
2018-04-24,12.3
2018-05-02,10.07
2018-05-04,12.97
2018-05-06,3.58
2018-05-07,7.61
2018-05-17,7.16
2018-05-23,6.93
2018-06-01,5.59
2018-06-08,4.47
2018-06-11,8.72
2018-06-21,3.58
2018-06-25,4.25
2018-06-30,4.92
2018-07-05,4.92
2018-07-14,4.03
2018-07-17,8.5
2018-07-20,9.4
2018-07-27,6.93
2018-08-03,5.82
2018-08-08,6.49
2018-08-14,2.46
2018-08-15,2.24
2018-08-18,9.84
2018-08-22,6.71
2018-09-02,2.24
2018-09-04,2.91
2018-09-16,14.99
2018-09-18,6.93
2018-10-16,4.92
2018-10-20,8.05
2018-10-21,5.59
2018-10-26,8.05
2018-10-29,5.14
2018-10-30,1.12
2018-11-12,5.14
2018-11-13,2.91
2018-11-15,10.29
2018-11-18,1.57
2018-11-19,3.36
2018-11-23,7.83
2018-11-26,9.84
2018-12-04,4.03
2018-12-06,3.8
2018-12-18,2.01
2018-12-28,9.84
2019-01-02,5.14
2019-01-04,7.16
2019-01-09,9.4
2019-01-20,12.3
