,value
2011-01-01 00:00:00,331.5572768039135
2011-01-01 03:00:00,352.6382660687595
2011-01-01 06:00:00,418.83034379671153
2011-01-01 09:00:00,471.55829596412553
2011-01-01 12:00:00,475.6651718983556
2011-01-01 15:00:00,514.5702541106128
2011-01-01 18:00:00,585.9865470852018
2011-01-01 21:00:00,529.5254110612856
2011-01-02 00:00:00,338.05306427503723
2011-01-02 03:00:00,379.5590433482809
2011-01-02 06:00:00,589.6225710014945
2011-01-02 09:00:00,809.9476831091182
2011-01-02 12:00:00,759.3759342301943
2011-01-02 15:00:00,785.6128550074742
2011-01-02 18:00:00,809.3385650224217
2011-01-02 21:00:00,546.7227204783259
2011-01-03 00:00:00,393.0231689088191
2011-01-03 03:00:00,388.9088191330342
2011-01-03 06:00:00,524.1816143497757
2011-01-03 09:00:00,718.4417040358745
2011-01-03 12:00:00,689.985052316891
2011-01-03 15:00:00,775.2391629297459
2011-01-03 18:00:00,774.0956651718984
2011-01-03 21:00:00,535.8819133034378
2011-01-04 00:00:00,305.9005979073243
2011-01-04 03:00:00,323.09790732436477
2011-01-04 06:00:00,570.9155455904337
2011-01-04 09:00:00,700.2279521674141
2011-01-04 12:00:00,700.0859491778774
2011-01-04 15:00:00,736.7787742899851
2011-01-04 18:00:00,796.9469357249627
2011-01-04 21:00:00,566.5396113602391
2011-01-05 00:00:00,347.02541106128564
2011-01-05 03:00:00,369.09566517189836
2011-01-05 06:00:00,613.0754857997009
2011-01-05 09:00:00,809.2002989536621
2011-01-05 12:00:00,881.7563527653214
2011-01-05 15:00:00,945.0934230194316
2011-01-05 18:00:00,968.6958146487294
2011-01-05 21:00:00,704.170403587444
2011-01-06 00:00:00,360.4857997010463
2011-01-06 03:00:00,385.92675635276515
2011-01-06 06:00:00,611.56576980568
2011-01-06 09:00:00,728.2660687593425
2011-01-06 12:00:00,716.9095665171898
2011-01-06 15:00:00,758.1165919282511
2011-01-06 18:00:00,770.9828101644247
2011-01-06 21:00:00,567.7914798206278
2011-01-07 00:00:00,348.13901345291475
2011-01-07 03:00:00,366.84977578475326
2011-01-07 06:00:00,541.9843049327353
2011-01-07 09:00:00,728.4043348281017
2011-01-07 12:00:00,695.1980568011959
2011-01-07 15:00:00,723.6659192825113
2011-01-07 18:00:00,794.0732436472348
2011-01-07 21:00:00,573.2735426008968
2011-01-08 00:00:00,353.7518684603885
2011-01-08 03:00:00,369.83931240657694
2011-01-08 06:00:00,537.1225710014945
2011-01-08 09:00:00,776.0986547085203
2011-01-08 12:00:00,751.7563527653214
2011-01-08 15:00:00,763.2585949177878
2011-01-08 18:00:00,811.6928251121077
2011-01-08 21:00:00,577.0179372197309
2011-01-09 00:00:00,351.1360239162929
2011-01-09 03:00:00,357.11883408071753
2011-01-09 06:00:00,536.3751868460389
2011-01-09 09:00:00,769.2301943198805
2011-01-09 12:00:00,700.7324364723469
2011-01-09 15:00:00,797.0964125560539
2011-01-09 18:00:00,750.1494768310912
2011-01-09 21:00:00,541.8609865470852
2011-01-10 00:00:00,421.0762331838564
2011-01-10 03:00:00,431.539611360239
2011-01-10 06:00:00,485.01121076233176
2011-01-10 09:00:00,755.6390134529147
2011-01-10 12:00:00,750.6427503736921
2011-01-10 15:00:00,774.8692077727956
2011-01-10 18:00:00,730.0261584454411
2011-01-10 21:00:00,553.075485799701
2011-01-11 00:00:00,331.69282511210764
2011-01-11 03:00:00,362.7354260089685
2011-01-11 06:00:00,577.2757847533633
2011-01-11 09:00:00,806.8124065769806
2011-01-11 12:00:00,775.9566517189836
2011-01-11 15:00:00,813.180119581465
2011-01-11 18:00:00,825.5493273542601
2011-01-11 21:00:00,610.9304932735425
2011-01-12 00:00:00,345.5269058295966
2011-01-12 03:00:00,360.49327354260095
2011-01-12 06:00:00,574.5328849028401
2011-01-12 09:00:00,812.4289985052316
2011-01-12 12:00:00,778.7107623318385
2011-01-12 15:00:00,719.2937219730943
2011-01-12 18:00:00,791.7002989536621
2011-01-12 21:00:00,613.1689088191329
2011-01-13 00:00:00,347.02167414050814
2011-01-13 03:00:00,370.5904334828101
2011-01-13 06:00:00,534.7608370702542
2011-01-13 09:00:00,693.2025411061286
2011-01-13 12:00:00,669.5104633781765
2011-01-13 15:00:00,714.5403587443947
2011-01-13 18:00:00,817.3019431988041
2011-01-13 21:00:00,603.3183856502241
2011-01-14 00:00:00,327.9559043348282
2011-01-14 03:00:00,359.7384155455905
2011-01-14 06:00:00,551.7077727952168
2011-01-14 09:00:00,655.6726457399103
2011-01-14 12:00:00,651.5582959641257
2011-01-14 15:00:00,614.7832585949179
2011-01-14 18:00:00,764.0994020926756
2011-01-14 21:00:00,587.8624813153962
2011-01-15 00:00:00,335.8071748878925
2011-01-15 03:00:00,351.13976083707007
2011-01-15 06:00:00,537.5186846038863
2011-01-15 09:00:00,636.3639760837071
2011-01-15 12:00:00,663.0493273542601
2011-01-15 15:00:00,696.6106128550076
2011-01-15 18:00:00,841.1659192825113
2011-01-15 21:00:00,586.7339312406576
2011-01-16 00:00:00,341.042600896861
2011-01-16 03:00:00,342.914798206278
2011-01-16 06:00:00,538.6285500747383
2011-01-16 09:00:00,656.0575485799701
2011-01-16 12:00:00,674.772047832586
2011-01-16 15:00:00,744.8991031390134
2011-01-16 18:00:00,721.9020926756353
2011-01-16 21:00:00,566.5358744394618
2011-01-17 00:00:00,333.9349775784754
2011-01-17 03:00:00,375.07847533632275
2011-01-17 06:00:00,639.7645739910315
2011-01-17 09:00:00,743.6285500747385
2011-01-17 12:00:00,739.2414050822123
2011-01-17 15:00:00,807.1898355754857
2011-01-17 18:00:00,835.2914798206278
2011-01-17 21:00:00,620.4035874439463
2011-01-18 00:00:00,358.2436472346785
2011-01-18 03:00:00,425.19058295964123
2011-01-18 06:00:00,530.2615844544094
2011-01-18 09:00:00,775.5941704035876
2011-01-18 12:00:00,764.2264573991033
2011-01-18 15:00:00,770.2242152466366
2011-01-18 18:00:00,783.0866965620329
2011-01-18 21:00:00,581.1248131539613
2011-01-19 00:00:00,338.796711509716
2011-01-19 03:00:00,415.8333333333333
2011-01-19 06:00:00,599.719730941704
2011-01-19 09:00:00,713.822869955157
2011-01-19 12:00:00,673.3669656203289
2011-01-19 15:00:00,691.0874439461885
2011-01-19 18:00:00,750.3886397608371
2011-01-19 21:00:00,555.6913303437967
2011-01-20 00:00:00,345.5269058295965
2011-01-20 03:00:00,396.0127055306427
2011-01-20 06:00:00,518.2959641255605
2011-01-20 09:00:00,727.5373692077729
2011-01-20 12:00:00,705.9417040358745
2011-01-20 15:00:00,713.2922272047832
2011-01-20 18:00:00,777.5784753363229
2011-01-20 21:00:00,585.736173393124
2011-01-21 00:00:00,319.73467862481306
2011-01-21 03:00:00,337.6756352765322
2011-01-21 06:00:00,504.46188340807186
2011-01-21 09:00:00,796.8236173393124
2011-01-21 12:00:00,760.990284005979
2011-01-21 15:00:00,806.8124065769804
2011-01-21 18:00:00,806.8124065769806
2011-01-21 21:00:00,610.2952167414052
2011-01-22 00:00:00,319.73094170403596
2011-01-22 03:00:00,328.3333333333334
2011-01-22 06:00:00,475.67264573991037
2011-01-22 09:00:00,905.2466367712999
2011-01-22 12:00:00,800.6913303437965
2011-01-22 15:00:00,858.9013452914791
2011-01-22 18:00:00,836.4088191330347
2011-01-22 21:00:00,616.5396113602391
2011-01-23 00:00:00,326.8385650224214
2011-01-23 03:00:00,336.1808669656203
2011-01-23 06:00:00,461.0799701046337
2011-01-23 09:00:00,913.6136023916297
2011-01-23 12:00:00,825.4334828101645
2011-01-23 15:00:00,873.51644245142
2011-01-23 18:00:00,808.1875934230196
2011-01-23 21:00:00,565.7884902840059
2011-01-24 00:00:00,310.01868460388647
2011-01-24 03:00:00,352.6382660687594
2011-01-24 06:00:00,492.50373692077716
2011-01-24 09:00:00,812.4476831091179
2011-01-24 12:00:00,735.2690582959641
2011-01-24 15:00:00,757.1038863976083
2011-01-24 18:00:00,795.4559043348286
2011-01-24 21:00:00,564.2937219730942
2011-01-25 00:00:00,314.4992526158447
2011-01-25 03:00:00,331.3191330343797
2011-01-25 06:00:00,478.65844544095654
2011-01-25 09:00:00,826.8011958146486
2011-01-25 12:00:00,718.6621823617339
2011-01-25 15:00:00,764.8505231689088
2011-01-25 18:00:00,803.6995515695071
2011-01-25 21:00:00,576.6405082212258
2011-01-26 00:00:00,319.36098654708525
2011-01-26 03:00:00,337.6793721973094
2011-01-26 06:00:00,467.44394618834076
2011-01-26 09:00:00,830.6763826606875
2011-01-26 12:00:00,773.8340807174887
2011-01-26 15:00:00,760.1083707025414
2011-01-26 18:00:00,784.0807174887894
2011-01-26 21:00:00,566.5396113602392
2011-01-27 00:00:00,303.65470852017927
2011-01-27 03:00:00,339.92526158445435
2011-01-27 06:00:00,516.9319880418535
2011-01-27 09:00:00,825.7997010463378
2011-01-27 12:00:00,770.6165919282511
2011-01-27 15:00:00,812.3168908819133
2011-01-27 18:00:00,804.9364723467864
2011-01-27 21:00:00,578.0156950672647
2011-01-28 00:00:00,302.90358744394615
2011-01-28 03:00:00,327.20852017937216
2011-01-28 06:00:00,474.54783258594927
2011-01-28 09:00:00,812.5597907324363
2011-01-28 12:00:00,783.8452914798207
2011-01-28 15:00:00,829.6786248131539
2011-01-28 18:00:00,819.9289985052316
2011-01-28 21:00:00,614.6636771300449
2011-01-29 00:00:00,325.72122571001495
2011-01-29 03:00:00,342.914798206278
2011-01-29 06:00:00,491.0014947683109
2011-01-29 09:00:00,907.2421524663678
2011-01-29 12:00:00,819.1816143497758
2011-01-29 15:00:00,841.2892376681615
2011-01-29 18:00:00,879.887892376682
2011-01-29 21:00:00,615.6763826606876
2011-01-30 00:00:00,320.48579970104635
2011-01-30 03:00:00,331.6928251121076
2011-01-30 06:00:00,498.47907324364724
2011-01-30 09:00:00,882.5074738415548
2011-01-30 12:00:00,837.163677130045
2011-01-30 15:00:00,868.2698056801199
2011-01-30 18:00:00,856.2742899850526
2011-01-30 21:00:00,577.7578475336322
2011-01-31 00:00:00,311.1285500747386
2011-01-31 03:00:00,326.46113602391614
2011-01-31 06:00:00,452.8624813153962
2011-01-31 09:00:00,776.5956651718983
2011-01-31 12:00:00,739.5029895366218
2011-01-31 15:00:00,785.5829596412556
2011-01-31 18:00:00,798.1913303437965
2011-01-31 21:00:00,577.0104633781765
2011-02-01 00:00:00,314.50298953662184
2011-02-01 03:00:00,494.7384155455905
2011-02-01 06:00:00,729.331091180867
2011-02-01 09:00:00,836.420029895366
2011-02-01 12:00:00,748.6285500747384
2011-02-01 15:00:00,775.9603886397608
2011-02-01 18:00:00,799.9439461883409
2011-02-01 21:00:00,578.1315396113603
2011-02-02 00:00:00,310.7623318385651
2011-02-02 03:00:00,382.5485799701045
2011-02-02 06:00:00,477.5448430493273
2011-02-02 09:00:00,809.4357249626306
2011-02-02 12:00:00,739.129297458894
2011-02-02 15:00:00,771.4648729446935
2011-02-02 18:00:00,804.1928251121076
2011-02-02 21:00:00,562.795216741405
2011-02-03 00:00:00,310.75859491778783
2011-02-03 03:00:00,338.0493273542601
2011-02-03 06:00:00,465.5680119581463
2011-02-03 09:00:00,803.0680119581465
2011-02-03 12:00:00,741.9955156950674
2011-02-03 15:00:00,780.2017937219731
2011-02-03 18:00:00,793.9424514200299
2011-02-03 21:00:00,583.7481315396113
2011-02-04 00:00:00,321.60313901345285
2011-02-04 03:00:00,329.07698056801206
